theta_deg	I
0.54425	2.9760639E-003
0.54575	2.7423894E-003
0.54725	2.6098192E-003
0.54875	2.5745218E-003
0.55025	2.6475794E-003
0.55175	2.8307701E-003
0.55325	3.0877024E-003
0.55475	3.3637881E-003
0.55625	3.7167624E-003
0.55775	4.0786290E-003
0.55925	4.4195643E-003
0.56075	4.7153509E-003
0.56225	4.9964986E-003
0.56375	5.2175862E-003
0.56525	5.3264885E-003
0.56675	5.3591863E-003
0.56825	5.3149965E-003
0.56975	5.1724389E-003
0.57125	4.9291882E-003
0.57275	4.6276548E-003
0.57425	4.2652409E-003
0.57575	3.8564473E-003
0.57725	3.4228910E-003
0.57875	3.0117722E-003
0.58025	2.6280154E-003
0.58175	2.2906379E-003
0.58325	2.0283698E-003
0.58475	1.8546190E-003
0.58625	1.7688380E-003
0.58775	1.7775940E-003
0.58925	1.8492833E-003
0.59075	2.0164673E-003
0.59225	2.2464476E-003
0.59375	2.5230807E-003
0.59525	2.8551228E-003
0.59675	3.1680111E-003
0.59825	3.5022420E-003
0.59975	3.8055535E-003
0.60125	4.0708310E-003
0.60275	4.2750910E-003
0.60425	4.4028726E-003
0.60575	4.4549978E-003
0.60725	4.4216164E-003
0.60875	4.3045054E-003
0.61025	4.0998352E-003
0.61175	3.8522063E-003
0.61325	3.5298776E-003
0.61475	3.1873013E-003
0.61625	2.8211933E-003
0.61775	2.4534436E-003
0.61925	2.1216755E-003
0.62075	1.8039985E-003
0.62225	1.5484343E-003
0.62375	1.3544356E-003
0.62525	1.2284321E-003
0.62675	1.2033954E-003
0.62825	1.2426603E-003
0.62975	1.3707160E-003
0.63125	1.5666304E-003
0.63275	1.8306770E-003
0.63425	2.1385031E-003
0.63575	2.4621997E-003
0.63725	2.7935572E-003
0.63875	3.0892072E-003
0.64025	3.3736390E-003
0.64175	3.6171637E-003
0.64325	3.7824318E-003
0.64475	3.9099404E-003
0.64625	3.9554988E-003
0.64775	3.9160973E-003
0.64925	3.7863997E-003
0.65075	3.6084075E-003
0.65225	3.3901932E-003
0.65375	3.0644445E-003
0.65525	2.7314450E-003
0.65675	2.3977612E-003
0.65825	2.0643512E-003
0.65975	1.7338142E-003
0.66125	1.4433631E-003
0.66275	1.2177606E-003
0.66425	1.0497560E-003
0.66575	9.5535588E-004
0.66725	9.4550545E-004
0.66875	9.9981972E-004
0.67025	1.1177514E-003
0.67175	1.2998477E-003
0.67325	1.5227138E-003
0.67475	1.8003047E-003
0.67625	2.1053946E-003
0.67775	2.4175991E-003
0.67925	2.7129753E-003
0.68075	3.0188861E-003
0.68225	3.2825221E-003
0.68375	3.4669442E-003
0.68525	3.6040295E-003
0.68675	3.6597122E-003
0.68825	3.6498616E-003
0.68975	3.5482105E-003
0.69125	3.3765119E-003
0.69275	3.1677373E-003
0.69425	2.8947981E-003
0.69575	2.5961380E-003
0.69725	2.2743570E-003
0.69875	1.9551755E-003
0.70025	1.6593887E-003
0.70175	1.3682535E-003
0.70325	1.1234974E-003
0.70475	9.4167469E-004
0.70625	8.2401669E-004
0.70775	7.7572215E-004
0.70925	8.0883061E-004
0.71075	9.2252105E-004
0.71225	1.1037965E-003
0.71375	1.3235160E-003
0.71525	1.6314791E-003
0.71675	1.9514817E-003
0.71825	2.2985728E-003
0.71975	2.6304778E-003
0.72125	2.9499333E-003
0.72275	3.2636421E-003
0.72425	3.4962222E-003
0.72575	3.6895368E-003
0.72725	3.7861262E-003
0.72875	3.8299058E-003
0.73025	3.7734024E-003
0.73175	3.6441155E-003
0.73325	3.4375302E-003
0.73475	3.1755355E-003
0.73625	2.8752338E-003
0.73775	2.5286900E-003
0.73925	2.1947327E-003
0.74075	1.8423059E-003
0.74225	1.5254500E-003
0.74375	1.2333571E-003
0.74525	1.0039239E-003
0.74675	8.5780915E-004
0.74825	7.7380682E-004
0.74975	7.7845837E-004
0.75125	8.7176397E-004
0.75275	1.0572806E-003
0.75425	1.3211902E-003
0.75575	1.6561053E-003
0.75725	2.0579211E-003
0.75875	2.4969496E-003
0.76025	2.9372098E-003
0.76175	3.3615995E-003
0.76325	3.7866731E-003
0.76475	4.1709770E-003
0.76625	4.4852337E-003
0.76775	4.7070053E-003
0.76925	4.8617390E-003
0.77075	4.9242619E-003
0.77225	4.8529836E-003
0.77375	4.6847048E-003
0.77525	4.4274991E-003
0.77675	4.1024345E-003
0.77825	3.6989774E-003
0.77975	3.2581699E-003
0.78125	2.8054600E-003
0.78275	2.3437205E-003
0.78425	1.9119430E-003
0.78575	1.5322906E-003
0.78725	1.2333571E-003
0.78875	1.0259507E-003
0.79025	9.3018246E-004
0.79175	9.5987070E-004
0.79325	1.1003762E-003
0.79475	1.3917852E-003
0.79625	1.7910016E-003
0.79775	2.3195050E-003
0.79925	2.9186036E-003
0.80075	3.5934953E-003
0.80225	4.3295422E-003
0.80375	5.0642206E-003
0.80525	5.7853549E-003
0.80675	6.4449240E-003
0.80825	7.0321201E-003
0.80975	7.4897553E-003
0.81125	7.8435494E-003
0.81275	8.0519142E-003
0.81425	8.1142997E-003
0.81575	7.9906220E-003
0.81725	7.7427193E-003
0.81875	7.3570465E-003
0.82025	6.8143154E-003
0.82175	6.1822454E-003
0.82325	5.4764342E-003
0.82475	4.7328630E-003
0.82625	3.9897021E-003
0.82775	3.3085167E-003
0.82925	2.7147538E-003
0.83075	2.2334503E-003
