theta_deg	I
0.55025	8.7065389E-003
0.55175	7.9551740E-003
0.55325	7.2599151E-003
0.55475	6.6917534E-003
0.55625	6.2371786E-003
0.55775	5.9435945E-003
0.55925	5.7995501E-003
0.56075	5.8641299E-003
0.56225	6.1215316E-003
0.56375	6.5287016E-003
0.56525	7.0597641E-003
0.56675	7.6499097E-003
0.56825	8.3030323E-003
0.56975	8.9016519E-003
0.57125	9.4315680E-003
0.57275	9.8339301E-003
0.57425	1.0100034E-002
0.57575	1.0194155E-002
0.57725	1.0131636E-002
0.57875	9.8753795E-003
0.58025	9.4899647E-003
0.58175	8.9311935E-003
0.58325	8.2766963E-003
0.58475	7.5812093E-003
0.58625	6.8396907E-003
0.58775	6.1677899E-003
0.58925	5.5474155E-003
0.59075	5.0639864E-003
0.59225	4.7365096E-003
0.59375	4.5523895E-003
0.59525	4.6073506E-003
0.59675	4.8287981E-003
0.59825	5.2126106E-003
0.59975	5.7480242E-003
0.60125	6.3832835E-003
0.60275	7.1083135E-003
0.60425	7.8296792E-003
0.60575	8.4782215E-003
0.60725	9.0250857E-003
0.60875	9.4148517E-003
0.61025	9.6452311E-003
0.61175	9.6905725E-003
0.61325	9.4986670E-003
0.61475	9.1966102E-003
0.61625	8.7115774E-003
0.61775	8.1319651E-003
0.61925	7.4428897E-003
0.62075	6.7011430E-003
0.62225	5.9504639E-003
0.62375	5.2378010E-003
0.62525	4.6359762E-003
0.62675	4.1720117E-003
0.62825	3.8514051E-003
0.62975	3.7440017E-003
0.63125	3.8214056E-003
0.63275	4.0877382E-003
0.63425	4.5004054E-003
0.63575	5.0866581E-003
0.63725	5.7679475E-003
0.63875	6.4767175E-003
0.64025	7.2420524E-003
0.64175	7.9757841E-003
0.64325	8.6433338E-003
0.64475	9.1574499E-003
0.64625	9.4842399E-003
0.64775	9.6548488E-003
0.64925	9.6117957E-003
0.65075	9.3218749E-003
0.65225	8.8904304E-003
0.65375	8.2895206E-003
0.65525	7.5963228E-003
0.65675	6.8115224E-003
0.65825	6.0017612E-003
0.65975	5.2794800E-003
0.66125	4.5963586E-003
0.66275	4.0545329E-003
0.66425	3.6810255E-003
0.66575	3.5115618E-003
0.66725	3.5814082E-003
0.66875	3.8303367E-003
0.67025	4.2867432E-003
0.67175	4.9279574E-003
0.67325	5.7384060E-003
0.67475	6.6363341E-003
0.67625	7.5516668E-003
0.67775	8.4502818E-003
0.67925	9.2806546E-003
0.68075	1.0015531E-002
0.68225	1.0542471E-002
0.68375	1.0874987E-002
0.68525	1.0948956E-002
0.68675	1.0801476E-002
0.68825	1.0450412E-002
0.68975	9.8334728E-003
0.69125	9.0800459E-003
0.69275	8.2075382E-003
0.69425	7.2995331E-003
0.69575	6.3509941E-003
0.69725	5.4789432E-003
0.69875	4.6987236E-003
0.70025	4.1204859E-003
0.70175	3.7284296E-003
0.70325	3.6111791E-003
0.70475	3.7797268E-003
0.70625	4.1646841E-003
0.70775	4.8301723E-003
0.70925	5.6914599E-003
0.71075	6.7286231E-003
0.71225	7.8493739E-003
0.71375	9.0534808E-003
0.71525	1.0261712E-002
0.71675	1.1368492E-002
0.71825	1.2290466E-002
0.71975	1.3015953E-002
0.72125	1.3423813E-002
0.72275	1.3542894E-002
0.72425	1.3367019E-002
0.72575	1.2873742E-002
0.72725	1.2175049E-002
0.72875	1.1212081E-002
0.73025	1.0178583E-002
0.73175	8.9966888E-003
0.73325	7.7921222E-003
0.73475	6.7254175E-003
0.73625	5.7734437E-003
0.73775	5.0926120E-003
0.73925	4.6939147E-003
0.74075	4.6982653E-003
0.74225	5.0990242E-003
0.74375	5.8689383E-003
0.74525	6.9970172E-003
0.74675	8.4418096E-003
0.74825	1.0151331E-002
0.74975	1.2049782E-002
0.75125	1.3952813E-002
0.75275	1.5870729E-002
0.75425	1.7664755E-002
0.75575	1.9290002E-002
0.75725	2.0578384E-002
0.75875	2.1397077E-002
0.76025	2.1827606E-002
0.76175	2.1754781E-002
0.76325	2.1189600E-002
0.76475	2.0134116E-002
0.76625	1.8728254E-002
0.76775	1.7064532E-002
0.76925	1.5244630E-002
0.77075	1.3375491E-002
0.77225	1.1643984E-002
0.77375	1.0191178E-002
0.77525	9.0958476E-003
0.77675	8.6405855E-003
0.77825	8.8022621E-003
0.77975	9.8284334E-003
0.78125	1.1644903E-002
0.78275	1.4334336E-002
0.78425	1.7793225E-002
0.78575	2.1804705E-002
0.78725	2.6334422E-002
0.78875	3.1068871E-002
0.79025	3.5927895E-002
0.79175	4.0597767E-002
0.79325	4.4960540E-002
0.79475	4.8674081E-002
0.79625	5.1654126E-002
0.79775	5.3646926E-002
0.79925	5.4446157E-002
0.80075	5.4105625E-002
0.80225	5.2540150E-002
0.80375	5.0030712E-002
0.80525	4.6540674E-002
0.80675	4.2522553E-002
0.80825	3.8487028E-002
0.80975	3.4767758E-002
0.81125	3.1919166E-002
0.81275	3.0557046E-002
0.81425	3.1344593E-002
0.81575	3.4878369E-002
0.81725	4.1699737E-002
0.81875	5.2242666E-002
0.82025	6.6907912E-002
0.82175	8.5475631E-002
0.82325	1.0784483E-001
0.82475	1.3352270E-001
0.82625	1.6169949E-001
0.82775	1.9206554E-001
0.82925	2.2366203E-001
0.83075	2.5550333E-001
0.83225	2.8724891E-001
0.83375	3.1761268E-001
0.83525	3.4658274E-001
0.83675	3.7268403E-001
0.83825	3.9584514E-001
0.83975	4.1582739E-001
0.84125	4.3221202E-001
0.84275	4.4580185E-001
0.84425	4.5633268E-001
0.84575	4.6472752E-001
0.84725	4.7044393E-001
0.84875	4.7454107E-001
0.85025	4.7639301E-001
0.85175	4.7594488E-001
0.85325	4.7322249E-001
0.85475	4.6794733E-001
0.85625	4.6125856E-001
0.85775	4.5269945E-001
0.85925	4.4303775E-001
0.86075	4.3166447E-001
0.86225	4.1901720E-001
0.86375	4.0535641E-001
0.86525	3.9010534E-001
0.86675	3.7350202E-001
0.86825	3.5540926E-001
0.86975	3.3688185E-001
0.87125	3.1768760E-001
0.87275	2.9774329E-001
0.87425	2.7716717E-001
0.87575	2.5597256E-001
0.87725	2.3469757E-001
