# specimen,CoC4,record_name,P2-04,instrument_id,Co-C(260916B),raw_file,XRR-1_Co-C(260916B).xrdml,role,"Co/C, qualification reference curve 1; baseline round 2",points,4899
two_theta_deg,intensity_counts
1.02850,8430.0
1.03150,7927.0
1.03450,7150.0
1.03750,6482.0
1.04050,6087.0
1.04350,5671.0
1.04650,5457.0
1.04950,5343.0
1.05250,5438.0
1.05550,5717.0
1.05850,6195.0
1.06150,6648.0
1.06450,6950.0
1.06750,7657.0
1.07050,7821.0
1.07350,8339.0
1.07650,8670.0
1.07950,8586.0
1.08250,8919.0
1.08550,8560.0
1.08850,8236.0
1.09150,7777.0
1.09450,7200.0
1.09750,6568.0
1.10050,6027.0
1.10350,5473.0
1.10650,4974.0
1.10950,4496.0
1.11250,4164.0
1.11550,4087.0
1.11850,4042.0
1.12150,4191.0
1.12450,4345.0
1.12750,4778.0
1.13050,5288.0
1.13350,5865.0
1.13650,6361.0
1.13950,6768.0
1.14250,7197.0
1.14550,7392.0
1.14850,7602.0
1.15150,7622.0
1.15450,7523.0
1.15750,7179.0
1.16050,6924.0
1.16350,6273.0
1.16650,5919.0
1.16950,5182.0
1.17250,4665.0
1.17550,4142.0
1.17850,3686.0
1.18150,3339.0
1.18450,3210.0
1.18750,3071.0
1.19050,3235.0
1.19350,3338.0
1.19650,3926.0
1.19950,4306.0
1.20250,4886.0
1.20550,5409.0
1.20850,6009.0
1.21150,6504.0
1.21450,7076.0
1.21750,7138.0
1.22050,7274.0
1.22350,7111.0
1.22650,7015.0
1.22950,6702.0
1.23250,6238.0
1.23550,5819.0
1.23850,5156.0
1.24150,4580.0
1.24450,4006.0
1.24750,3463.0
1.25050,2960.0
1.25350,2707.0
1.25650,2528.0
1.25950,2554.0
1.26250,2606.0
1.26550,2994.0
1.26850,3298.0
1.27150,3870.0
1.27450,4330.0
1.27750,5114.0
1.28050,5581.0
1.28350,6089.0
1.28650,6640.0
1.28950,7074.0
1.29250,7245.0
1.29550,7359.0
1.29850,7008.0
1.30150,6834.0
1.30450,6452.0
1.30750,5808.0
1.31050,5361.0
1.31350,4735.0
1.31650,3981.0
1.31950,3407.0
1.32250,2916.0
1.32550,2654.0
1.32850,2378.0
1.33150,2369.0
1.33450,2350.0
1.33750,2667.0
1.34050,3221.0
1.34350,3741.0
1.34650,4371.0
1.34950,5169.0
1.35250,5889.0
1.35550,6588.0
1.35850,7218.0
1.36150,7665.0
1.36450,7997.0
1.36750,8378.0
1.37050,8190.0
1.37350,8040.0
1.37650,7541.0
1.37950,7021.0
1.38250,6464.0
1.38550,5684.0
1.38850,4900.0
1.39150,4230.0
1.39450,3576.0
1.39750,2879.0
1.40050,2656.0
1.40350,2277.0
1.40650,2375.0
1.40950,2518.0
1.41250,3064.0
1.41550,3615.0
1.41850,4337.0
1.42150,5183.0
1.42450,6136.0
1.42750,7047.0
1.43050,7958.0
1.43350,8873.0
1.43650,9613.0
1.43950,10016.0
1.44250,10162.0
1.44550,10215.0
1.44850,9739.0
1.45150,9393.0
1.45450,8845.0
1.45750,7862.0
1.46050,7111.0
1.46350,6010.0
1.46650,5226.0
1.46950,4232.0
1.47250,3585.0
1.47550,3204.0
1.47850,2954.0
1.48150,3037.0
1.48450,3485.0
1.48750,4251.0
1.49050,5335.0
1.49350,6566.0
1.49650,7880.0
1.49950,9346.0
1.50250,10950.0
1.50550,12541.0
1.50850,13645.0
1.51150,14941.0
1.51450,15714.0
1.51750,16443.0
1.52050,16576.0
1.52350,16116.0
1.52650,15525.0
1.52950,14623.0
1.53250,13246.0
1.53550,11834.0
1.53850,10437.0
1.54150,8851.0
1.54450,7578.0
1.54750,6461.0
1.55050,5685.0
1.55350,5490.0
1.55650,5654.0
1.55950,6863.0
1.56250,8284.0
1.56550,10942.0
1.56850,13617.0
1.57150,17234.0
1.57450,20758.0
1.57750,24380.0
1.58050,28064.0
1.58350,31616.0
1.58650,34835.0
1.58950,37626.0
1.59250,39809.0
1.59550,40596.0
1.59850,41077.0
1.60150,40318.0
1.60450,38325.0
1.60750,36139.0
1.61050,32973.0
1.61350,29638.0
1.61650,25837.0
1.61950,22772.0
1.62250,20703.0
1.62550,19898.0
1.62850,20534.0
1.63150,23690.0
1.63450,29276.0
1.63750,38203.0
1.64050,50490.0
1.64350,65936.0
1.64650,84573.0
1.64950,104770.0
1.65250,126956.0
1.65550,150331.0
1.65850,173530.0
1.66150,198536.0
1.66450,222546.0
1.66750,243812.0
1.67050,265580.0
1.67350,282921.0
1.67650,300034.0
1.67950,312513.0
1.68250,323684.0
1.68550,331069.0
1.68850,337127.0
1.69150,342264.0
1.69450,346019.0
1.69750,349171.0
1.70050,348646.0
1.70350,348960.0
1.70650,345214.0
1.70950,340307.0
1.71250,334131.0
1.71550,326136.0
1.71850,319438.0
1.72150,311585.0
1.72450,303024.0
1.72750,290643.0
1.73050,278904.0
1.73350,266483.0
1.73650,252841.0
1.73950,239083.0
1.74250,224018.0
1.74550,209739.0
1.74850,195088.0
1.75150,179392.0
1.75450,162991.0
1.75750,146532.0
1.76050,131116.0
1.76350,114131.0
1.76650,99393.0
1.76950,84665.0
1.77250,71797.0
1.77550,59914.0
1.77850,48856.0
1.78150,39635.0
1.78450,32440.0
1.78750,25846.0
1.79050,21592.0
1.79350,18405.0
1.79650,16835.0
1.79950,15728.0
1.80250,15708.0
1.80550,16347.0
1.80850,17013.0
1.81150,17829.0
1.81450,18938.0
1.81750,19848.0
1.82050,20277.0
1.82350,20524.0
1.82650,20375.0
1.82950,19981.0
1.83250,18835.0
1.83550,17745.0
1.83850,16483.0
1.84150,14659.0
1.84450,13157.0
1.84750,11602.0
1.85050,10095.0
1.85350,8553.0
1.85650,7346.0
1.85950,6208.0
1.86250,5337.0
1.86550,4987.0
1.86850,4445.0
1.87150,4346.0
1.87450,4655.0
1.87750,4989.0
1.88050,5173.0
1.88350,5703.0
1.88650,6138.0
1.88950,6473.0
1.89250,6920.0
1.89550,7217.0
1.89850,7400.0
1.90150,7462.0
1.90450,7459.0
1.90750,7340.0
1.91050,6744.0
1.91350,6345.0
1.91650,5789.0
1.91950,5264.0
1.92250,4738.0
1.92550,4235.0
1.92850,3604.0
1.93150,3081.0
1.93450,2665.0
1.93750,2360.0
1.94050,2240.0
1.94350,2083.0
1.94650,1940.0
1.94950,2031.0
1.95250,2110.0
1.95550,2290.0
1.95850,2485.0
1.96150,2744.0
1.96450,2817.0
1.96750,3275.0
1.97050,3258.0
1.97350,3388.0
1.97650,3552.0
1.97950,3661.0
1.98250,3583.0
1.98550,3345.0
1.98850,3258.0
1.99150,3139.0
1.99450,2817.0
1.99750,2549.0
2.00050,2271.0
2.00350,1997.0
