# fit,CoC4-expert-full-fit,stored_as,author-fit-P2-04-full-fit.xrcx,min_limit,1.600E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
0.483,1.407200E-02,1.760600E-02
0.484,1.316600E-02,1.692000E-02
0.486,1.233500E-02,1.616000E-02
0.487,1.163900E-02,1.537300E-02
0.489,1.099600E-02,1.461000E-02
0.490,1.049900E-02,1.391800E-02
0.492,1.022200E-02,1.334000E-02
0.493,1.019100E-02,1.290800E-02
0.495,1.032100E-02,1.264200E-02
0.496,1.061000E-02,1.255100E-02
0.498,1.106500E-02,1.262700E-02
0.499,1.157700E-02,1.284800E-02
0.501,1.216200E-02,1.318200E-02
0.502,1.266500E-02,1.358700E-02
0.504,1.308700E-02,1.401700E-02
0.505,1.333200E-02,1.442300E-02
0.507,1.343400E-02,1.476100E-02
0.508,1.341300E-02,1.499000E-02
0.510,1.316500E-02,1.508000E-02
0.511,1.272400E-02,1.501200E-02
0.513,1.215500E-02,1.478100E-02
0.514,1.147300E-02,1.439300E-02
0.516,1.070200E-02,1.387000E-02
0.517,9.904700E-03,1.324400E-02
0.519,9.118400E-03,1.255600E-02
0.520,8.469100E-03,1.184900E-02
0.522,7.904700E-03,1.117200E-02
0.523,7.530700E-03,1.056700E-02
0.525,7.363600E-03,1.007300E-02
0.526,7.387200E-03,9.718800E-03
0.528,7.600600E-03,9.521500E-03
0.529,7.926700E-03,9.487500E-03
0.531,8.432100E-03,9.610200E-03
0.532,8.952600E-03,9.871600E-03
0.534,9.525300E-03,1.024300E-02
0.535,1.006600E-02,1.069000E-02
0.537,1.048900E-02,1.116900E-02
0.538,1.091900E-02,1.163700E-02
0.540,1.111700E-02,1.205200E-02
0.541,1.120700E-02,1.237400E-02
0.543,1.108400E-02,1.257300E-02
0.544,1.076300E-02,1.262500E-02
0.546,1.032300E-02,1.252000E-02
0.547,9.690900E-03,1.226000E-02
0.549,9.016600E-03,1.185700E-02
0.550,8.304100E-03,1.133600E-02
0.552,7.587500E-03,1.073100E-02
0.553,6.924400E-03,1.008100E-02
0.555,6.382500E-03,9.429400E-03
0.556,5.948900E-03,8.818800E-03
0.558,5.668900E-03,8.289400E-03
0.559,5.531500E-03,7.874900E-03
0.561,5.593100E-03,7.600900E-03
0.562,5.838600E-03,7.482200E-03
0.564,6.227000E-03,7.522600E-03
0.565,6.733500E-03,7.714200E-03
0.567,7.296300E-03,8.038000E-03
0.568,7.919300E-03,8.465700E-03
0.570,8.490200E-03,8.961300E-03
0.571,8.995700E-03,9.483700E-03
0.573,9.379400E-03,9.990300E-03
0.574,9.633200E-03,1.043900E-02
0.576,9.723000E-03,1.079400E-02
0.577,9.663400E-03,1.102400E-02
0.579,9.419000E-03,1.110800E-02
0.580,9.051400E-03,1.103700E-02
0.582,8.518400E-03,1.081200E-02
0.583,7.894200E-03,1.044500E-02
0.585,7.230800E-03,9.959000E-03
0.586,6.523600E-03,9.385900E-03
0.588,5.882700E-03,8.763000E-03
0.589,5.291000E-03,8.131700E-03
0.591,4.829900E-03,7.534100E-03
0.592,4.517600E-03,7.009900E-03
0.594,4.342000E-03,6.593700E-03
0.595,4.394400E-03,6.312700E-03
0.597,4.605600E-03,6.184500E-03
0.598,4.971700E-03,6.216100E-03
0.600,5.482400E-03,6.403300E-03
0.601,6.088300E-03,6.730900E-03
0.603,6.779800E-03,7.173800E-03
0.604,7.467800E-03,7.698800E-03
0.606,8.086400E-03,8.266800E-03
0.607,8.608000E-03,8.835600E-03
0.609,8.979700E-03,9.362900E-03
0.610,9.199400E-03,9.809600E-03
0.612,9.242700E-03,1.014200E-02
0.613,9.059700E-03,1.033500E-02
0.615,8.771600E-03,1.037100E-02
0.616,8.308900E-03,1.024800E-02
0.618,7.756100E-03,9.969500E-03
0.619,7.098900E-03,9.553600E-03
0.621,6.391400E-03,9.026500E-03
0.622,5.675400E-03,8.422400E-03
0.624,4.995700E-03,7.781500E-03
0.625,4.421700E-03,7.146600E-03
0.627,3.979200E-03,6.560800E-03
0.628,3.673400E-03,6.064000E-03
0.630,3.571000E-03,5.690500E-03
0.631,3.644800E-03,5.465800E-03
0.633,3.898800E-03,5.405200E-03
0.634,4.292400E-03,5.512900E-03
0.636,4.851600E-03,5.781500E-03
0.637,5.501400E-03,6.192700E-03
0.639,6.177400E-03,6.719200E-03
0.640,6.907300E-03,7.325900E-03
0.642,7.607200E-03,7.972500E-03
0.643,8.243900E-03,8.615800E-03
0.645,8.734200E-03,9.212200E-03
0.646,9.045900E-03,9.720900E-03
0.648,9.208600E-03,1.010600E-02
0.649,9.167600E-03,1.034100E-02
0.651,8.891000E-03,1.040700E-02
0.652,8.479500E-03,1.029800E-02
0.654,7.906400E-03,1.002100E-02
0.655,7.245200E-03,9.591500E-03
0.657,6.496700E-03,9.038600E-03
0.658,5.724400E-03,8.397800E-03
0.660,5.035500E-03,7.711800E-03
0.661,4.383900E-03,7.026700E-03
0.663,3.867100E-03,6.389300E-03
0.664,3.510900E-03,5.844400E-03
0.666,3.349300E-03,5.431300E-03
0.667,3.415900E-03,5.181400E-03
0.669,3.653300E-03,5.115600E-03
0.670,4.088600E-03,5.242600E-03
0.672,4.700200E-03,5.558200E-03
0.673,5.473200E-03,6.045300E-03
0.675,6.329600E-03,6.674900E-03
0.676,7.202600E-03,7.408300E-03
0.678,8.059700E-03,8.199200E-03
0.679,8.851700E-03,8.997500E-03
0.681,9.552600E-03,9.752300E-03
0.682,1.005500E-02,1.041500E-02
0.684,1.037200E-02,1.094300E-02
0.685,1.044300E-02,1.130100E-02
0.687,1.030200E-02,1.146600E-02
0.688,9.967400E-03,1.142500E-02
0.690,9.379000E-03,1.118000E-02
0.691,8.660400E-03,1.074600E-02
0.693,7.828200E-03,1.015200E-02
0.694,6.962200E-03,9.436500E-03
0.696,6.057500E-03,8.647600E-03
0.697,5.225700E-03,7.839300E-03
0.699,4.481600E-03,7.068100E-03
0.700,3.930000E-03,6.389400E-03
0.702,3.556100E-03,5.853900E-03
0.703,3.444300E-03,5.504200E-03
0.705,3.605000E-03,5.372100E-03
0.706,3.972200E-03,5.476000E-03
0.708,4.606900E-03,5.819600E-03
0.709,5.428400E-03,6.391500E-03
0.711,6.417600E-03,7.164800E-03
0.712,7.486600E-03,8.099100E-03
0.714,8.635100E-03,9.142500E-03
0.715,9.787400E-03,1.023500E-02
0.717,1.084300E-02,1.131200E-02
0.718,1.172200E-02,1.230800E-02
0.720,1.241400E-02,1.316300E-02
0.721,1.280300E-02,1.382400E-02
0.723,1.291700E-02,1.424900E-02
0.724,1.274900E-02,1.441200E-02
0.726,1.227900E-02,1.430100E-02
0.727,1.161200E-02,1.392300E-02
0.729,1.069400E-02,1.330300E-02
0.730,9.708200E-03,1.248100E-02
0.732,8.580900E-03,1.151400E-02
0.733,7.432000E-03,1.046800E-02
0.735,6.414600E-03,9.417400E-03
0.736,5.506600E-03,8.441400E-03
0.738,4.857200E-03,7.616900E-03
0.739,4.477000E-03,7.014800E-03
0.741,4.481100E-03,6.694500E-03
0.742,4.863400E-03,6.700200E-03
0.744,5.597700E-03,7.056700E-03
0.745,6.673600E-03,7.767400E-03
0.747,8.051700E-03,8.813100E-03
0.748,9.682200E-03,1.015300E-02
0.750,1.149300E-02,1.172500E-02
0.751,1.330800E-02,1.345100E-02
0.753,1.513700E-02,1.524200E-02
0.754,1.684800E-02,1.699800E-02
0.756,1.839800E-02,1.862200E-02
0.757,1.962700E-02,2.002000E-02
0.759,2.040800E-02,2.111000E-02
0.760,2.081900E-02,2.182400E-02
0.762,2.074900E-02,2.211900E-02
0.763,2.021000E-02,2.197400E-02
0.765,1.920400E-02,2.139600E-02
0.766,1.786300E-02,2.042300E-02
0.768,1.627600E-02,1.912200E-02
0.769,1.454000E-02,1.758500E-02
0.771,1.275700E-02,1.592900E-02
0.772,1.110600E-02,1.429000E-02
0.774,9.720200E-03,1.281300E-02
0.775,8.675500E-03,1.164300E-02
0.777,8.241200E-03,1.091800E-02
0.778,8.395400E-03,1.075700E-02
0.780,9.374200E-03,1.125100E-02
0.781,1.110700E-02,1.245400E-02
0.783,1.367200E-02,1.438200E-02
0.784,1.697100E-02,1.700300E-02
0.786,2.079700E-02,2.024100E-02
0.787,2.511700E-02,2.397600E-02
0.789,2.963300E-02,2.805200E-02
0.790,3.426700E-02,3.228200E-02
0.792,3.872100E-02,3.646100E-02
0.793,4.288300E-02,4.037200E-02
0.795,4.642400E-02,4.380700E-02
0.796,4.926700E-02,4.657100E-02
0.798,5.116800E-02,4.850100E-02
0.799,5.193000E-02,4.947800E-02
0.801,5.160500E-02,4.943800E-02
0.802,5.011200E-02,4.838500E-02
0.804,4.771800E-02,4.640300E-02
0.805,4.439000E-02,4.365900E-02
0.807,4.055700E-02,4.041900E-02
0.808,3.670800E-02,3.703900E-02
0.810,3.316100E-02,3.397000E-02
0.811,3.044400E-02,3.174100E-02
0.813,2.914500E-02,3.093700E-02
0.814,2.989600E-02,3.216600E-02
0.816,3.326600E-02,3.601200E-02
0.817,3.977200E-02,4.298800E-02
0.819,4.982800E-02,5.348700E-02
0.820,6.381600E-02,6.773800E-02
0.822,8.152500E-02,8.577100E-02
0.823,1.028600E-01,1.074100E-01
0.825,1.273500E-01,1.322600E-01
0.826,1.542300E-01,1.597600E-01
0.828,1.831900E-01,1.891700E-01
0.829,2.133200E-01,2.196800E-01
0.831,2.436900E-01,2.504400E-01
0.832,2.739700E-01,2.806400E-01
0.834,3.029300E-01,3.095400E-01
0.835,3.305600E-01,3.365400E-01
0.837,3.554600E-01,3.611900E-01
0.838,3.775500E-01,3.831600E-01
0.840,3.966100E-01,4.022700E-01
0.841,4.122400E-01,4.184600E-01
0.843,4.252000E-01,4.317600E-01
0.844,4.352400E-01,4.422700E-01
0.846,4.432500E-01,4.501000E-01
0.847,4.487000E-01,4.554400E-01
0.849,4.526100E-01,4.584400E-01
0.850,4.543800E-01,4.592800E-01
0.852,4.539500E-01,4.581100E-01
0.853,4.513500E-01,4.550800E-01
0.855,4.463200E-01,4.503300E-01
0.856,4.399400E-01,4.439700E-01
0.858,4.317800E-01,4.361200E-01
0.859,4.225600E-01,4.268600E-01
0.861,4.117100E-01,4.162800E-01
0.862,3.996500E-01,4.044300E-01
0.864,3.866200E-01,3.913800E-01
0.865,3.720800E-01,3.771900E-01
0.867,3.562400E-01,3.619000E-01
0.868,3.389800E-01,3.455900E-01
0.870,3.213100E-01,3.283100E-01
0.871,3.030000E-01,3.101500E-01
0.873,2.839800E-01,2.911900E-01
0.874,2.643600E-01,2.715400E-01
0.876,2.441400E-01,2.513500E-01
0.877,2.238500E-01,2.307500E-01
0.879,2.029700E-01,2.099400E-01
0.880,1.820700E-01,1.891400E-01
0.882,1.613800E-01,1.685900E-01
0.883,1.414600E-01,1.485400E-01
0.885,1.225400E-01,1.292900E-01
0.886,1.045700E-01,1.111000E-01
0.888,8.829900E-02,9.424000E-02
0.889,7.367500E-02,7.894600E-02
0.891,6.082800E-02,6.540700E-02
0.892,4.986200E-02,5.375800E-02
0.894,4.079500E-02,4.406400E-02
0.895,3.380100E-02,3.632100E-02
0.897,2.858000E-02,3.045400E-02
0.898,2.492500E-02,2.632200E-02
0.900,2.285000E-02,2.372700E-02
0.901,2.185000E-02,2.242700E-02
0.903,2.172400E-02,2.215300E-02
0.904,2.218300E-02,2.262400E-02
0.906,2.308300E-02,2.356500E-02
0.907,2.408100E-02,2.472100E-02
0.909,2.499400E-02,2.586800E-02
0.910,2.572800E-02,2.682300E-02
0.912,2.619800E-02,2.744700E-02
0.913,2.617600E-02,2.764600E-02
0.915,2.571600E-02,2.737400E-02
0.916,2.488800E-02,2.662000E-02
0.918,2.360600E-02,2.541400E-02
0.919,2.203000E-02,2.381000E-02
0.921,2.020000E-02,2.188800E-02
0.922,1.829100E-02,1.974200E-02
0.924,1.628300E-02,1.747400E-02
0.925,1.428700E-02,1.518900E-02
0.927,1.244100E-02,1.298500E-02
0.928,1.073300E-02,1.095200E-02
0.930,9.288600E-03,9.162400E-03
0.931,8.054500E-03,7.669700E-03
0.933,7.135600E-03,6.507200E-03
0.934,6.547800E-03,5.687400E-03
0.936,6.281600E-03,5.203500E-03
0.937,6.245700E-03,5.031700E-03
0.939,6.402100E-03,5.133300E-03
0.940,6.771900E-03,5.458600E-03
