theta_deg	I
0.55025	8.6911432E-003
0.55175	7.9411073E-003
0.55325	7.2470778E-003
0.55475	6.6799209E-003
0.55625	6.2261499E-003
0.55775	5.9330841E-003
0.55925	5.7892948E-003
0.56075	5.8537605E-003
0.56225	6.1107068E-003
0.56375	6.5171574E-003
0.56525	7.0472807E-003
0.56675	7.6363827E-003
0.56825	8.2883500E-003
0.56975	8.8859098E-003
0.57125	9.4148898E-003
0.57275	9.8165413E-003
0.57425	1.0082174E-002
0.57575	1.0176130E-002
0.57725	1.0113721E-002
0.57875	9.8579181E-003
0.58025	9.4731832E-003
0.58175	8.9153992E-003
0.58325	8.2620606E-003
0.58475	7.5678029E-003
0.58625	6.8275966E-003
0.58775	6.1568837E-003
0.58925	5.5376063E-003
0.59075	5.0550317E-003
0.59225	4.7281338E-003
0.59375	4.5443391E-003
0.59525	4.5992034E-003
0.59675	4.8202593E-003
0.59825	5.2033928E-003
0.59975	5.7378598E-003
0.60125	6.3719959E-003
0.60275	7.0957444E-003
0.60425	7.8158341E-003
0.60575	8.4632291E-003
0.60725	9.0091266E-003
0.60875	9.3982024E-003
0.61025	9.6281739E-003
0.61175	9.6734380E-003
0.61325	9.4818706E-003
0.61475	9.1803474E-003
0.61625	8.6961724E-003
0.61775	8.1175854E-003
0.61925	7.4297283E-003
0.62075	6.6892928E-003
0.62225	5.9399423E-003
0.62375	5.2285395E-003
0.62525	4.6277787E-003
0.62675	4.1646347E-003
0.62825	3.8445946E-003
0.62975	3.7373814E-003
0.63125	3.8146479E-003
0.63275	4.0805098E-003
0.63425	4.4924472E-003
0.63575	5.0776629E-003
0.63725	5.7577486E-003
0.63875	6.4652651E-003
0.64025	7.2292462E-003
0.64175	7.9616802E-003
0.64325	8.6280489E-003
0.64475	9.1412561E-003
0.64625	9.4674686E-003
0.64775	9.6377758E-003
0.64925	9.5947981E-003
0.65075	9.3053905E-003
0.65225	8.8747097E-003
0.65375	8.2748625E-003
0.65525	7.5828903E-003
0.65675	6.7994781E-003
0.65825	5.9911492E-003
0.65975	5.2701440E-003
0.66125	4.5882310E-003
0.66275	4.0473635E-003
0.66425	3.6745165E-003
0.66575	3.5053522E-003
0.66725	3.5750754E-003
0.66875	3.8235635E-003
0.67025	4.2791632E-003
0.67175	4.9192435E-003
0.67325	5.7282592E-003
0.67475	6.6245999E-003
0.67625	7.5383135E-003
0.67775	8.4353397E-003
0.67925	9.2642428E-003
0.68075	9.9978214E-003
0.68225	1.0523830E-002
0.68375	1.0855757E-002
0.68525	1.0929595E-002
0.68675	1.0782376E-002
0.68825	1.0431931E-002
0.68975	9.8160850E-003
0.69125	9.0639899E-003
0.69275	8.1930244E-003
0.69425	7.2866245E-003
0.69575	6.3397638E-003
0.69725	5.4692551E-003
0.69875	4.6904148E-003
0.70025	4.1131997E-003
0.70175	3.7218367E-003
0.70325	3.6047932E-003
0.70475	3.7730429E-003
0.70625	4.1573192E-003
0.70775	4.8216311E-003
0.70925	5.6813955E-003
0.71075	6.7167250E-003
0.71225	7.8354934E-003
0.71375	9.0374723E-003
0.71525	1.0243566E-002
0.71675	1.1348390E-002
0.71825	1.2268733E-002
0.71975	1.2992938E-002
0.72125	1.3400075E-002
0.72275	1.3518947E-002
0.72425	1.3343382E-002
0.72575	1.2850977E-002
0.72725	1.2153520E-002
0.72875	1.1192256E-002
0.73025	1.0160583E-002
0.73175	8.9807799E-003
0.73325	7.7783433E-003
0.73475	6.7135249E-003
0.73625	5.7632346E-003
0.73775	5.0836066E-003
0.73925	4.6856138E-003
0.74075	4.6899575E-003
0.74225	5.0900076E-003
0.74375	5.8585610E-003
0.74525	6.9846441E-003
0.74675	8.4268814E-003
0.74825	1.0133381E-002
0.74975	1.2028475E-002
0.75125	1.3928141E-002
0.75275	1.5842667E-002
0.75425	1.7633518E-002
0.75575	1.9255893E-002
0.75725	2.0541996E-002
0.75875	2.1359241E-002
0.76025	2.1789009E-002
0.76175	2.1716313E-002
0.76325	2.1152129E-002
0.76475	2.0098511E-002
0.76625	1.8695137E-002
0.76775	1.7034357E-002
0.76925	1.5217673E-002
0.77075	1.3351839E-002
0.77225	1.1623395E-002
0.77375	1.0173157E-002
0.77525	9.0797627E-003
0.77675	8.6253071E-003
0.77825	8.7866979E-003
0.77975	9.8110549E-003
0.78125	1.1624310E-002
0.78275	1.4308989E-002
0.78425	1.7761763E-002
0.78575	2.1766149E-002
0.78725	2.6287859E-002
0.78875	3.1013934E-002
0.79025	3.5864368E-002
0.79175	4.0525977E-002
0.79325	4.4881035E-002
0.79475	4.8588011E-002
0.79625	5.1562786E-002
0.79775	5.3552065E-002
0.79925	5.4349873E-002
0.80075	5.4009944E-002
0.80225	5.2447241E-002
0.80375	4.9942240E-002
0.80525	4.6458378E-002
0.80675	4.2447362E-002
0.80825	3.8418975E-002
0.80975	3.4706283E-002
0.81125	3.1862725E-002
0.81275	3.0503012E-002
0.81425	3.1289168E-002
0.81575	3.4816694E-002
0.81725	4.1626003E-002
0.81875	5.2150290E-002
0.82025	6.6789605E-002
0.82175	8.5324496E-002
0.82325	1.0765413E-001
0.82475	1.3328661E-001
0.82625	1.6141354E-001
0.82775	1.9172591E-001
0.82925	2.2326654E-001
0.83075	2.5505152E-001
0.83225	2.8674099E-001
0.83375	3.1705105E-001
0.83525	3.4596989E-001
0.83675	3.7202501E-001
0.83825	3.9514518E-001
0.83975	4.1509211E-001
0.84125	4.3144774E-001
0.84275	4.4501352E-001
0.84425	4.5552576E-001
0.84575	4.6390572E-001
0.84725	4.6961203E-001
0.84875	4.7370195E-001
0.85025	4.7555065E-001
0.85175	4.7510326E-001
0.85325	4.7238567E-001
0.85475	4.6711984E-001
0.85625	4.6044290E-001
0.85775	4.5189902E-001
0.85925	4.4225439E-001
0.86075	4.3090114E-001
0.86225	4.1827628E-001
0.86375	4.0463960E-001
0.86525	3.8941553E-001
0.86675	3.7284157E-001
0.86825	3.5478079E-001
0.86975	3.3628616E-001
0.87125	3.1712580E-001
0.87275	2.9721680E-001
0.87425	2.7667707E-001
0.87575	2.5551993E-001
0.87725	2.3428254E-001
0.87875	2.1242654E-001
0.88025	1.9055068E-001
0.88175	1.6889608E-001
0.88325	1.4804913E-001
0.88475	1.2824826E-001
0.88625	1.0944361E-001
0.88775	9.2413835E-002
0.88925	7.7108376E-002
0.89075	6.3662358E-002
0.89225	5.2185494E-002
0.89375	4.2696536E-002
0.89525	3.5376534E-002
0.89675	2.9911397E-002
0.89825	2.6086459E-002
0.89975	2.3914987E-002
0.90125	2.2868231E-002
0.90275	2.2736557E-002
0.90425	2.3217304E-002
0.90575	2.4159133E-002
0.90725	2.5203606E-002
0.90875	2.6158469E-002
0.91025	2.6927024E-002
0.91175	2.7418971E-002
0.91325	2.7395422E-002
0.91475	2.6914680E-002
0.91625	2.6047371E-002
0.91775	2.4706632E-002
0.91925	2.3056597E-002
0.92075	2.1141157E-002
0.92225	1.9143192E-002
0.92375	1.7041901E-002
0.92525	1.4953184E-002
0.92675	1.3021286E-002
0.92825	1.1233632E-002
0.92975	9.7214440E-003
0.93125	8.4298542E-003
0.93275	7.4681337E-003
0.93425	6.8529709E-003
0.93575	6.5743071E-003
0.93725	6.5368167E-003
0.93875	6.7004939E-003
0.94025	7.0875143E-003
0.94175	7.5737461E-003
0.94325	8.0915252E-003
0.94475	8.6008469E-003
