theta_deg	I
0.55025	9.0865409E-003
0.55175	8.3023822E-003
0.55325	7.5767781E-003
0.55475	6.9838185E-003
0.55625	6.5094042E-003
0.55775	6.2030065E-003
0.55925	6.0526747E-003
0.56075	6.1200727E-003
0.56225	6.3887089E-003
0.56375	6.8136510E-003
0.56525	7.3678922E-003
0.56675	7.9837954E-003
0.56825	8.6654229E-003
0.56975	9.2901690E-003
0.57125	9.8432144E-003
0.57275	1.0263138E-002
0.57425	1.0540855E-002
0.57575	1.0639085E-002
0.57725	1.0573838E-002
0.57875	1.0306397E-002
0.58025	9.9041602E-003
0.58175	9.3210004E-003
0.58325	8.6379386E-003
0.58475	7.9120947E-003
0.58625	7.1382131E-003
0.58775	6.4369873E-003
0.58925	5.7895365E-003
0.59075	5.2850074E-003
0.59225	4.9432372E-003
0.59375	4.7510811E-003
0.59525	4.8084413E-003
0.59675	5.0395546E-003
0.59825	5.4401183E-003
0.59975	5.9989002E-003
0.60125	6.6618863E-003
0.60275	7.4185603E-003
0.60425	8.1714103E-003
0.60575	8.8482583E-003
0.60725	9.4189895E-003
0.60875	9.8257679E-003
0.61025	1.0066202E-002
0.61175	1.0113523E-002
0.61325	9.9132424E-003
0.61475	9.5980009E-003
0.61625	9.0917991E-003
0.61775	8.4868902E-003
0.61925	7.7677388E-003
0.62075	6.9936179E-003
0.62225	6.2101763E-003
0.62375	5.4664076E-003
0.62525	4.8383162E-003
0.62675	4.3541021E-003
0.62825	4.0195021E-003
0.62975	3.9074109E-003
0.63125	3.9881929E-003
0.63275	4.2661498E-003
0.63425	4.6968278E-003
0.63575	5.3086677E-003
0.63725	6.0196929E-003
0.63875	6.7593977E-003
0.64025	7.5581358E-003
0.64175	8.3238920E-003
0.64325	9.0205772E-003
0.64475	9.5571307E-003
0.64625	9.8981848E-003
0.64775	1.0076240E-002
0.64925	1.0031308E-002
0.65075	9.7287344E-003
0.65225	9.2784585E-003
0.65375	8.6513218E-003
0.65525	7.9278694E-003
0.65675	7.1088164E-003
0.65825	6.2637124E-003
0.65975	5.5099055E-003
0.66125	4.7969692E-003
0.66275	4.2314953E-003
0.66425	3.8416858E-003
0.66575	3.6648260E-003
0.66725	3.7377209E-003
0.66875	3.9975140E-003
0.67025	4.4738408E-003
0.67175	5.1430413E-003
0.67325	5.9888619E-003
0.67475	6.9259810E-003
0.67625	7.8812642E-003
0.67775	8.8191004E-003
0.67925	9.6857138E-003
0.68075	1.0452665E-002
0.68225	1.1002604E-002
0.68375	1.1349633E-002
0.68525	1.1426829E-002
0.68675	1.1272914E-002
0.68825	1.0906526E-002
0.68975	1.0262660E-002
0.69125	9.4763506E-003
0.69275	8.5657602E-003
0.69425	7.6181255E-003
0.69575	6.6281869E-003
0.69725	5.7180747E-003
0.69875	4.9038022E-003
0.70025	4.3003270E-003
0.70175	3.8911591E-003
0.70325	3.7687912E-003
0.70475	3.9446950E-003
0.70625	4.3464541E-003
0.70775	5.0409879E-003
0.70925	5.9398673E-003
0.71075	7.0222984E-003
0.71225	8.1919637E-003
0.71375	9.4486261E-003
0.71525	1.0709590E-002
0.71675	1.1864677E-002
0.71825	1.2826891E-002
0.71975	1.3584043E-002
0.72125	1.4009702E-002
0.72275	1.4133982E-002
0.72425	1.3950430E-002
0.72575	1.3435624E-002
0.72725	1.2706436E-002
0.72875	1.1701440E-002
0.73025	1.0622833E-002
0.73175	9.3893539E-003
0.73325	8.1322137E-003
0.73475	7.0189517E-003
0.73625	6.0254284E-003
0.73775	5.3148824E-003
0.73925	4.8987833E-003
0.74075	4.9033244E-003
0.74225	5.3215739E-003
0.74375	6.1250920E-003
0.74525	7.3024058E-003
0.74675	8.8102566E-003
0.74825	1.0594393E-002
0.74975	1.2575702E-002
0.75125	1.4561792E-002
