theta_deg	log10_I_minus_log10_R
0.53675	-2.1416187E-002
0.53825	-1.5237689E-002
0.53975	-1.5718699E-002
0.54125	-1.6762137E-002
0.54275	-2.1978617E-002
0.54425	-3.0794859E-002
0.54575	-4.0575266E-002
0.54725	-5.5351853E-002
0.54875	-7.0140481E-002
0.55025	-8.6112261E-002
0.55175	-1.0320282E-001
0.55325	-1.1970758E-001
0.55475	-1.3228393E-001
0.55625	-1.4213419E-001
0.55775	-1.4624882E-001
0.55925	-1.4551878E-001
0.56075	-1.3584018E-001
0.56225	-1.1918497E-001
0.56375	-9.9640608E-002
0.56525	-7.9365730E-002
0.56675	-6.1835527E-002
0.56825	-4.5440912E-002
0.56975	-3.4504294E-002
0.57125	-2.7273417E-002
0.57275	-2.4350762E-002
0.57425	-2.4353981E-002
0.57575	-2.7609944E-002
0.57725	-3.2792687E-002
0.57875	-4.1407704E-002
0.58025	-5.1110148E-002
0.58175	-6.4946413E-002
0.58325	-8.0907941E-002
0.58475	-9.7976685E-002
0.58625	-1.1858249E-001
0.58775	-1.3760638E-001
0.58925	-1.5760231E-001
0.59075	-1.7295241E-001
0.59225	-1.8167067E-001
0.59375	-1.8454885E-001
0.59525	-1.7254710E-001
0.59675	-1.5366721E-001
0.59825	-1.2998319E-001
0.59975	-1.0384989E-001
0.60125	-7.9568624E-002
0.60275	-5.6847334E-002
0.60425	-3.9529562E-002
0.60575	-2.8455019E-002
0.60725	-2.2141457E-002
0.60875	-2.0831585E-002
0.61025	-2.2790432E-002
0.61175	-2.8064013E-002
0.61325	-3.8577199E-002
0.61475	-4.8803449E-002
0.61625	-6.2916994E-002
0.61775	-7.8003645E-002
0.61925	-9.6677542E-002
0.62075	-1.1822939E-001
0.62225	-1.4257622E-001
0.62375	-1.6898537E-001
0.62525	-1.9318795E-001
0.62675	-2.1271706E-001
0.62825	-2.2629309E-001
0.62975	-2.2496700E-001
0.63125	-2.1177173E-001
0.63275	-1.8813825E-001
0.63425	-1.6125441E-001
0.63575	-1.3042641E-001
0.63725	-1.0322142E-001
0.63875	-8.2724094E-002
0.64025	-6.4156055E-002
0.64175	-5.0348282E-002
0.64325	-4.0218830E-002
0.64475	-3.5489202E-002
0.64625	-3.5446882E-002
0.64775	-3.7204981E-002
0.64925	-4.2656183E-002
0.65075	-5.3339005E-002
0.65225	-6.5189838E-002
0.65375	-8.0930948E-002
0.65525	-9.8675489E-002
0.65675	-1.2098765E-001
0.65825	-1.4706445E-001
0.65975	-1.7150784E-001
0.66125	-2.0012379E-001
0.66275	-2.2531986E-001
0.66425	-2.4330521E-001
0.66575	-2.4807525E-001
0.66725	-2.3445773E-001
0.66875	-2.1188188E-001
0.67025	-1.8066096E-001
0.67175	-1.4679265E-001
0.67325	-1.1342669E-001
0.67475	-8.6046934E-002
0.67625	-6.5915823E-002
0.67775	-5.1065922E-002
0.67925	-4.0666342E-002
0.68075	-3.3030748E-002
0.68225	-3.0577898E-002
0.68375	-3.0747533E-002
0.68525	-3.4990907E-002
0.68675	-4.1447401E-002
0.68825	-4.9730182E-002
0.68975	-6.3585162E-002
0.69125	-7.9435349E-002
0.69275	-9.8894596E-002
0.69425	-1.2064004E-001
0.69575	-1.4852667E-001
0.69725	-1.7868328E-001
0.69875	-2.1267009E-001
0.70025	-2.4155641E-001
0.70175	-2.6504493E-001
0.70325	-2.7041149E-001
0.70475	-2.5541639E-001
0.70625	-2.3138189E-001
0.70775	-1.9636297E-001
0.70925	-1.6247010E-001
0.71075	-1.3150001E-001
0.71225	-1.0736680E-001
0.71375	-8.6537719E-002
0.71525	-6.9694996E-002
0.71675	-5.7818055E-002
0.71825	-5.0696492E-002
0.71975	-4.6090841E-002
0.72125	-4.6198487E-002
0.72275	-4.8884511E-002
0.72425	-5.4031253E-002
0.72575	-6.2831044E-002
0.72725	-7.2726727E-002
0.72875	-8.7749243E-002
0.73025	-1.0323203E-001
0.73175	-1.2565541E-001
0.73325	-1.5392041E-001
0.73475	-1.8317497E-001
0.73625	-2.1759343E-001
0.73775	-2.4709058E-001
0.73925	-2.6854157E-001
0.74075	-2.6846862E-001
0.74225	-2.4873829E-001
0.74375	-2.1767485E-001
0.74525	-1.8221509E-001
0.74675	-1.4827216E-001
0.74825	-1.1839759E-001
0.74975	-9.3464255E-002
0.75125	-7.6162815E-002
0.75275	-6.1784983E-002
0.75425	-5.0910115E-002
0.75575	-4.1710138E-002
0.75725	-3.5627127E-002
0.75875	-3.3411741E-002
0.76025	-3.2103300E-002
0.76175	-3.3497334E-002
0.76325	-3.7565470E-002
0.76475	-4.5332193E-002
0.76625	-5.5768967E-002
0.76775	-6.9457769E-002
0.76925	-8.7436914E-002
0.77075	-1.1121011E-001
0.77225	-1.3963974E-001
0.77375	-1.7135811E-001
0.77525	-2.0519710E-001
0.77675	-2.2708046E-001
0.77825	-2.3623514E-001
0.77975	-2.2261608E-001
0.78125	-1.9692981E-001
0.78275	-1.6349292E-001
0.78425	-1.3037944E-001
0.78575	-1.0277927E-001
0.78725	-7.8503728E-002
0.78875	-5.9443235E-002
0.79025	-4.2885780E-002
0.79175	-2.9427648E-002
0.79325	-1.7343402E-002
0.79475	-7.5230598E-003
0.79625	1.3376474E-003
0.79775	8.5211992E-003
0.79925	1.3237715E-002
0.80075	1.6020179E-002
0.80225	1.5323400E-002
0.80375	1.1465073E-002
0.80525	7.5519085E-004
0.80675	-1.7700791E-002
0.80825	-4.4847727E-002
0.80975	-8.3280444E-002
0.81125	-1.3105178E-001
0.81275	-1.8091691E-001
0.81425	-2.2124577E-001
0.81575	-2.4301517E-001
0.81725	-2.4454439E-001
0.81875	-2.3076773E-001
0.82025	-2.0767105E-001
0.82175	-1.8261796E-001
0.82325	-1.5792400E-001
0.82475	-1.3530719E-001
0.82625	-1.1571097E-001
0.82775	-9.7878575E-002
0.82925	-8.2166255E-002
