theta_deg	I
0.64325	4.2852848E-003
0.64475	4.4297450E-003
0.64625	4.4813599E-003
0.64775	4.4367197E-003
0.64925	4.2897803E-003
0.65075	4.0881247E-003
0.65225	3.8408998E-003
0.65375	3.4718448E-003
0.65525	3.0945751E-003
0.65675	2.7165301E-003
0.65825	2.3387950E-003
0.65975	1.9643151E-003
0.66125	1.6352501E-003
0.66275	1.3796551E-003
0.66425	1.1893150E-003
0.66575	1.0823651E-003
0.66725	1.0712049E-003
0.66875	1.1327399E-003
0.67025	1.2663500E-003
0.67175	1.4726551E-003
0.67325	1.7251499E-003
0.67475	2.0396451E-003
0.67625	2.3852952E-003
0.67775	2.7390050E-003
0.67925	3.0736502E-003
0.68075	3.4202300E-003
0.68225	3.7189152E-003
0.68375	3.9278548E-003
0.68525	4.0831654E-003
0.68675	4.1462500E-003
0.68825	4.1350899E-003
0.68975	4.0199249E-003
0.69125	3.8254000E-003
0.69275	3.5888702E-003
0.69425	3.2796450E-003
0.69575	2.9412799E-003
0.69725	2.5767200E-003
0.69875	2.2151049E-003
0.70025	1.8799951E-003
0.70175	1.5501551E-003
0.70325	1.2728600E-003
0.70475	1.0668651E-003
0.70625	9.3356502E-004
0.70775	8.7884994E-004
0.70925	9.1636000E-004
0.71075	1.0451650E-003
0.71225	1.2505400E-003
0.71375	1.4994700E-003
0.71525	1.8483751E-003
0.71675	2.2109200E-003
0.71825	2.6041551E-003
0.71975	2.9801850E-003
0.72125	3.3421100E-003
0.72275	3.6975250E-003
0.72425	3.9610248E-003
0.72575	4.1800402E-003
0.72725	4.2894701E-003
0.72875	4.3390696E-003
0.73025	4.2750551E-003
0.73175	4.1285800E-003
0.73325	3.8945300E-003
0.73475	3.5977054E-003
0.73625	3.2574802E-003
0.73775	2.8648649E-003
0.73925	2.4865100E-003
0.74075	2.0872301E-003
0.74225	1.7282501E-003
0.74375	1.3973248E-003
0.74525	1.1373899E-003
0.74675	9.7184995E-004
0.74825	8.7668002E-004
0.74975	8.8194991E-004
0.75125	9.8766002E-004
0.75275	1.1978400E-003
0.75425	1.4968350E-003
0.75575	1.8762751E-003
0.75725	2.3315100E-003
0.75875	2.8289047E-003
0.76025	3.3276950E-003
0.76175	3.8085049E-003
0.76325	4.2900904E-003
0.76475	4.7254846E-003
0.76625	5.0815200E-003
0.76775	5.3327754E-003
0.76925	5.5080801E-003
0.77075	5.5789147E-003
0.77225	5.4981597E-003
0.77375	5.3075105E-003
0.77525	5.0161104E-003
0.77675	4.6478300E-003
0.77825	4.1907351E-003
0.77975	3.6913250E-003
0.78125	3.1784298E-003
0.78275	2.6553050E-003
0.78425	2.1661252E-003
0.78575	1.7360001E-003
0.78725	1.3973251E-003
0.78875	1.1623449E-003
0.79025	1.0538449E-003
0.79175	1.0874800E-003
0.79325	1.2466650E-003
0.79475	1.5768149E-003
0.79625	2.0291049E-003
0.79775	2.6278701E-003
0.79925	3.3066149E-003
0.80075	4.0712301E-003
0.80225	4.9051302E-003
0.80375	5.7374798E-003
0.80525	6.5544848E-003
0.80675	7.3017399E-003
0.80825	7.9669999E-003
0.80975	8.4854746E-003
0.81125	8.8863047E-003
0.81275	9.1223698E-003
0.81425	9.1930507E-003
0.81575	9.0529304E-003
0.81725	8.7720705E-003
0.81875	8.3351256E-003
0.82025	7.7202395E-003
0.82175	7.0041395E-003
0.82325	6.2044952E-003
0.82475	5.3620697E-003
0.82625	4.5201103E-003
0.82775	3.7483650E-003
0.82925	3.0756649E-003
0.83075	2.5303750E-003
0.83225	2.1828648E-003
0.83375	2.1004051E-003
0.83525	2.2611402E-003
0.83675	2.6830500E-003
0.83825	3.3607101E-003
0.83975	4.2834249E-003
0.84125	5.4538301E-003
0.84275	6.7924098E-003
0.84425	8.2952902E-003
0.84575	9.8828003E-003
0.84725	1.1525955E-002
0.84875	1.3180889E-002
0.85025	1.4703144E-002
0.85175	1.6018011E-002
0.85325	1.7136490E-002
0.85475	1.7944969E-002
0.85625	1.8403770E-002
0.85775	1.8491035E-002
0.85925	1.8170495E-002
0.86075	1.7536080E-002
0.86225	1.6550591E-002
0.86375	1.5298966E-002
0.86525	1.3813290E-002
0.86675	1.2180365E-002
0.86825	1.0575805E-002
0.86975	9.0964846E-003
0.87125	7.8188190E-003
0.87275	6.9751553E-003
0.87425	6.7440500E-003
0.87575	7.3020495E-003
0.87725	8.8094249E-003
0.87875	1.1413270E-002
0.88025	1.5265175E-002
0.88175	2.0449616E-002
0.88325	2.7103147E-002
0.88475	3.5171825E-002
0.88625	4.4616908E-002
0.88775	5.5280287E-002
0.88925	6.7096718E-002
0.89075	7.9905130E-002
0.89225	9.3377583E-002
0.89375	1.0741329E-001
0.89525	1.2185154E-001
0.89675	1.3637613E-001
0.89825	1.5062435E-001
0.89975	1.6464876E-001
0.90125	1.7814088E-001
0.90275	1.9059451E-001
0.90425	2.0209086E-001
0.90575	2.1256234E-001
0.90725	2.2188824E-001
0.90875	2.2975446E-001
0.91025	2.3607057E-001
0.91175	2.4129468E-001
0.91325	2.4481957E-001
0.91475	2.4712287E-001
0.91625	2.4804588E-001
0.91775	2.4738388E-001
0.91925	2.4551006E-001
0.92075	2.4229477E-001
0.92225	2.3798840E-001
0.92375	2.3221898E-001
0.92525	2.2536147E-001
0.92675	2.1760404E-001
0.92825	2.0903967E-001
0.92975	1.9952607E-001
0.93125	1.8920152E-001
0.93275	1.7822039E-001
0.93425	1.6658640E-001
0.93575	1.5458335E-001
0.93725	1.4222319E-001
0.93875	1.2963983E-001
0.94025	1.1723333E-001
0.94175	1.0490911E-001
0.94325	9.3136400E-002
0.94475	8.1730269E-002
0.94625	7.0848338E-002
0.94775	6.0737371E-002
0.94925	5.1258344E-002
0.95075	4.2745128E-002
0.95225	3.4996983E-002
0.95375	2.8299591E-002
0.95525	2.2577764E-002
0.95675	1.7847786E-002
0.95825	1.4090739E-002
0.95975	1.1220760E-002
0.96125	9.1556953E-003
0.96275	7.7867354E-003
0.96425	7.0108050E-003
0.96575	6.7502502E-003
0.96725	6.8937801E-003
0.96875	7.3487055E-003
0.97025	7.9690153E-003
0.97175	8.6728707E-003
0.97325	9.4123753E-003
0.97475	1.0069265E-002
0.97625	1.0612386E-002
0.97775	1.0985936E-002
0.97925	1.1208516E-002
0.98075	1.1266175E-002
0.98225	1.1107455E-002
0.98375	1.0799780E-002
0.98525	1.0308740E-002
0.98675	9.6223997E-003
0.98825	8.8430597E-003
0.98975	7.9950551E-003
0.99125	7.0986897E-003
0.99275	6.1734952E-003
0.99425	5.2934051E-003
0.99575	4.5078648E-003
0.99725	3.7934699E-003
0.99875	3.1396800E-003
1.00025	2.6153149E-003
1.00175	2.2132450E-003
1.00325	1.9328500E-003
1.00475	1.7803301E-003
1.00625	1.7158501E-003
1.00775	1.7676201E-003
1.00925	1.8793748E-003
1.01075	2.0540599E-003
1.01225	2.2619150E-003
1.01375	2.5034051E-003
1.01525	2.7571402E-003
1.01675	2.9851450E-003
1.01825	3.2080349E-003
1.01975	3.3819450E-003
1.02125	3.4909097E-003
1.02275	3.5186550E-003
1.02425	3.4744798E-003
1.02575	3.3797750E-003
1.02725	3.2193500E-003
1.02875	3.0192451E-003
1.03025	2.8008500E-003
1.03175	2.5585850E-003
1.03325	2.3157001E-003
1.03475	2.0473951E-003
1.03625	1.7832750E-003
1.03775	1.5272150E-003
