group	session	job_id	measurement	state	chi2	started_utc	elapsed_s	files	source_in_record
seed-and-surface-study	CoC4-seed-B2	fit-20260919-064237-9b64	P2-04/xrr.dat	finished	6.09108	2026-09-18T22:42:37.858Z	2127.62	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP2/B2/jobs/fit-20260919-064237-9b64
agent-loop	all-fits	fit-20260916-121708-7484	P2-01/xrr.dat	finished	1.00553	2026-09-16T04:17:08.719Z	1.696	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121708-7484
agent-loop	all-fits	fit-20260916-121714-79de	P2-02/xrr.dat	finished	3.80625	2026-09-16T04:17:14.036Z	8.583	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121714-79de
agent-loop	all-fits	fit-20260916-121754-fa2c	P2-01/xrr.dat	finished	1.00553	2026-09-16T04:17:54.344Z	1.514	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121754-fa2c
agent-loop	all-fits	fit-20260916-121759-a57f	P2-02/xrr.dat	finished	3.80625	2026-09-16T04:17:59.923Z	8.304	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121759-a57f
agent-loop	all-fits	fit-20260916-121916-0b0b	P2-02/xrr.dat	finished	3.614	2026-09-16T04:19:16.125Z	16.311	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121916-0b0b
agent-loop	all-fits	fit-20260916-121922-3fa3	P2-02/xrr.dat	finished	3.70381	2026-09-16T04:19:32.442Z	22.13	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-121922-3fa3
agent-loop	all-fits	fit-20260916-122125-a0d6	P2-01/xrr.dat	finished	0.948942	2026-09-16T04:21:25.566Z	3.28	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-122125-a0d6
agent-loop	all-fits	fit-20260916-122132-fd84	P2-01/xrr.dat	finished	0.970114	2026-09-16T04:21:32.044Z	3.738	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-122132-fd84
agent-loop	all-fits	fit-20260916-141443-830b	P2-02/xrr.dat	finished	5.13906	2026-09-16T06:14:43.706Z	31.516	request.json job.json	experiments/runs/exp-03/workdir/jobs/fit-20260916-141443-830b
